1.0701,0.02681,-10,0
1.0702,0.01681,-10,0
1.0702,0.0068099,-10,0
1.0702,-0.0031901,-10,0
1.0702,-0.01319,-10,0
1.0701,-0.02319,-10,0
1.0701,-0.03319,-10,0
1.0701,-0.04319,-10,0
1.07,-0.05319,-10,0
1.07,-0.06319,-10,0
1.0699,-0.07319,-10,0
1.0698,-0.08319,-10,0
1.0697,-0.09319,-10,0
1.0696,-0.10319,-10,0
1.0695,-0.11319,-10,0
1.0694,-0.12319,-10,0
1.0693,-0.13319,-10,0
1.0692,-0.14319,-10,0
1.069,-0.15319,-10,0
1.0688,-0.16319,-10,0
1.0687,-0.17319,-10,0
1.0685,-0.18319,-10,0
1.0683,-0.19319,-10,0
1.0681,-0.20319,-10,0
1.0679,-0.21319,-10,0
1.0677,-0.22319,-10,0
1.0675,-0.23319,-10,0
1.0672,-0.24319,-10,0
1.067,-0.25319,-10,0
1.0667,-0.26319,-10,0
1.0664,-0.27319,-10,0
1.0662,-0.28319,-10,0
1.0659,-0.29319,-10,0
1.0656,-0.30319,-10,0
1.0653,-0.31319,-10,0
1.065,-0.32319,-10,0
1.0646,-0.33319,-10,0
1.0643,-0.34319,-10,0
1.0639,-0.35319,-10,0
1.0636,-0.36319,-10,0
1.0632,-0.37319,-10,0
1.0628,-0.38319,-10,0
1.0624,-0.39319,-10,0
1.062,-0.40319,-10,0
1.0616,-0.41319,-10,0
1.0612,-0.42319,-10,0
1.0608,-0.43319,-10,0
1.0604,-0.44319,-10,0
1.0599,-0.45319,-10,0
1.0594,-0.46319,-10,0
1.059,-0.47319,-10,0
1.0585,-0.48319,-10,0
1.058,-0.49319,-10,0
1.0575,-0.50319,-10,0
1.057,-0.51319,-10,0
1.0565,-0.52319,-10,0
1.056,-0.53319,-10,0
1.0554,-0.54319,-10,0
1.0549,-0.55319,-10,0
1.0543,-0.56319,-10,0
1.0537,-0.57319,-10,0
1.0532,-0.58319,-10,0
1.0526,-0.59319,-10,0
1.052,-0.60319,-10,0
1.0514,-0.61319,-10,0
1.0508,-0.62319,-10,0
1.0501,-0.63319,-10,0
1.0495,-0.64319,-10,0
1.0488,-0.65319,-10,0
1.0482,-0.66319,-10,0
1.0475,-0.67319,-10,0
1.0468,-0.68319,-10,0
1.0462,-0.69319,-10,0
1.0455,-0.70319,-10,0
1.0447,-0.71319,-10,0
1.044,-0.72319,-10,0
1.0433,-0.73319,-10,0
1.0426,-0.74319,-10,0
1.0418,-0.75319,-10,0
1.0411,-0.76319,-10,0
1.0403,-0.77319,-10,0
1.0395,-0.78319,-10,0
1.0387,-0.79319,-10,0
1.0379,-0.80319,-10,0
1.0371,-0.81319,-10,0
1.0363,-0.82319,-10,0
1.0355,-0.83319,-10,0
1.0346,-0.84319,-10,0
1.0338,-0.85319,-10,0
1.0329,-0.86319,-10,0
1.0321,-0.87319,-10,0
1.0312,-0.88319,-10,0
1.0303,-0.89319,-10,0
1.0294,-0.90319,-10,0
1.0285,-0.91319,-10,0
1.0276,-0.92319,-10,0
1.0266,-0.93319,-10,0
1.0257,-0.94319,-10,0
1.0247,-0.95319,-10,0
1.0238,-0.96319,-10,0
1.0228,-0.97319,-10,0
1.0218,-0.98319,-10,0
1.0209,-0.99319,-10,0
1.0199,-1.0032,-10,0
1.0188,-1.0132,-10,0
1.0178,-1.0232,-10,0
1.0168,-1.0332,-10,0
1.0158,-1.0432,-10,0
1.0147,-1.0532,-10,0
1.0137,-1.0632,-10,0
1.0126,-1.0732,-10,0
1.0115,-1.0832,-10,0
1.0104,-1.0932,-10,0
1.0093,-1.1032,-10,0
1.0082,-1.1132,-10,0
1.0071,-1.1232,-10,0
1.006,-1.1332,-10,0
1.0048,-1.1432,-10,0
1.0037,-1.1532,-10,0
1.0025,-1.1632,-10,0
1.0014,-1.1732,-10,0
1.0002,-1.1832,-10,0
0.999,-1.1741,10.428,-9.0217
0.99783,-1.1737,-6.1269,-13.819
0.99665,-1.1816,-8.8485,-14.431
0.99546,-1.1906,-8.9965,-14.551
0.99427,-1.1996,-8.9772,-14.656
0.99306,-1.2086,-8.9659,-14.764
0.99185,-1.2175,-8.9576,-14.874
0.99063,-1.2265,-8.9497,-14.983
