8.0042,8.0042
8.0042,8.0042
8.2964,8.2964
8.0042,8.0042
8.0042,8.0042
9.2673,9.2673
8.0042,8.0042
8.0042,8.0042
8.0042,8.0042
8.0042,8.0042
9.0042,9.0042
8.0042,8.0042
8.0042,8.0042
8.4193,8.4193
7.5713,7.5713
7.6823,7.6823
7.9047,7.9047
8.4193,8.4193
8.1298,8.1298
7.1298,7.1298
6.6823,6.6823
6.9598,6.9598
7.3928,7.3928
8.2673,8.2673
8.1298,8.1298
7.2553,7.2553
7.1298,7.1298
7.5303,7.5303
8.2673,8.2673
8.1298,8.1298
8.1298,8.1298
8.2673,8.2673
8.2673,8.2673
7.6823,7.6823
9.0042,9.0042
8.4193,8.4193
7.6823,7.6823
8.4193,8.4193
7.9598,7.9598
7.6443,7.6443
8.2673,8.2673
8.0973,8.0973
7.4193,7.4193
7.9047,7.9047
7.9047,7.9047
8.2673,8.2673
8.2673,8.2673
8.2673,8.2673
7.8343,7.8343
7.1969,7.1969
8.2673,8.2673
7.9453,7.9453
7.8522,7.8522
8.2673,8.2673
7.6823,7.6823
8.2673,8.2673
7.9453,7.9453
6.6823,6.6823
8.0567,8.0567
8.4193,8.4193
9.0042,9.0042
8.7818,8.7818
8.4193,8.4193
8.0973,8.0973
8.0973,8.0973
8.2266,8.9147
-0.41504,-0.31194
1,1.6881
0.152,2.5361
0.32193,1.3661
1.1699,1.6374
1.415,2.0525
1.1699,1.1679
0.58496,1.585
0.152,1.2922
1.1699,1.4675
0.19265,1.585
-1.152,-0.25892
0.16993,1.3379
0.848,1.3081
0.36257,1.8074
0.41504,1.2928
0.19265,1.0931
0.36257,1.1837
0.22239,-0.36257
1.2224,1.6167
0.32193,0.11103
8.8899,8.8899
8.568,8.568
8.398,8.398
6.983,6.983
8.246,8.246
8.568,8.568
8.8899,8.8899
9.8899,9.8899
8.8899,8.8899
8.4305,8.4305
7.7524,7.7524
8.4305,8.4305
8.4305,8.4305
7.7606,7.7606
8.568,8.568
9.0825,9.0825
9.3049,9.3049
8.4305,8.4305
7.5825,7.5825
7.983,7.983
7.6935,7.6935
8.2081,8.2081
8.0825,8.0825
8.568,8.568
8.72,8.72
8.3049,8.3049
7.7903,7.7903
8.1529,8.1529
7.8899,7.8899
7.983,7.983
8.3049,8.3049
8.568,8.568
8.568,8.568
8.1894,8.1894
7.8109,7.8109
7.8999,7.8999
8.2605,8.2605
7.9126,7.9126
8.4976,8.4976
8.3574,8.3574
8.3049,8.3049
7.8899,7.8899
8.0419,8.0419
8.0639,8.0639
7.9484,7.9484
7.9484,7.9484
7.9671,7.9671
7.9671,7.9671
7.7744,7.7744
9.3049,9.3049
6.8455,6.8455
8.2784,8.2784
8.568,8.568
8.8899,8.8899
9.0825,9.0825
9.568,9.568
7.4976,7.4976
7.0825,7.0825
8.8899,8.8899
8.568,8.568
8.0825,8.0825
7.8761,7.8761
7.983,7.983
8.4305,8.4305
6.8601,6.8601
7.3456,7.3456
8.4305,8.4305
8.0825,8.0825
8.0825,8.0825
8.1894,8.1894
7.4976,7.4976
8.0825,8.0825
6.0825,6.0825
7.4976,7.4976
8.0825,8.0825
7.9671,7.9671
7.7744,7.7744
8.0825,8.0825
8.0825,8.0825
7.5971,7.5971
5.8601,5.8601
7.6675,7.6675
8.0825,8.0825
7.72,7.72
8.0825,8.0825
7.8195,7.8195
